Final_Rank,Feature,Mean_SHAP,Posterior_Mean,Posterior_SD,HDI_95_Lower,HDI_95_Upper,Bayesian_Stability,Gene,GeneID,PathwayID,Pathway,Source
1,EXP_HEPHL1 (341208),0.0003298324601801,0.00032989477,1.9974033e-05,0.00029048635,0.00036928125,16.51618222474765,HEPHL1,,,,
2,CRISPR_ZBTB40 (9923),0.0002544296248205,0.0002539615,1.865126e-05,0.00021898758,0.00029165883,13.616318558489148,ZBTB40,,,,
3,CRISPR_BTBD2 (55643),0.0001857295883062,0.00018593633,2.4113317e-05,0.00014315748,0.00023644994,7.710939695148685,BTBD2,,,,
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,13.0,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,14.0,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,15.0,APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,16.0,APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,17.0,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,18.0,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,19.0,APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,32.0,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,Reactome
