Source,Pathway,Overlap,Background,Odds_Ratio,P_Value,Mean_Posterior,Genes,Adjusted_P
Reactome,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,1,75,12.833333333333332,0.07523307428279716,0.00017698147,ANAPC16,0.21138948819777062
Reactome,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,1,76,12.664473684210526,0.07620015080642298,0.00017698147,ANAPC16,0.21138948819777062
Reactome,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,1,80,12.03125,0.08005919372040507,0.00017698147,ANAPC16,0.21138948819777062
Reactome,Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,1,80,12.03125,0.08005919372040507,0.00017698147,ANAPC16,0.21138948819777062
Reactome,Cyclin E Associated Events During G1/S Transition R-HSA-69202,1,82,11.73780487804878,0.08198316856687055,0.00010671357,E2F4,0.21138948819777062
Reactome,Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,1,84,11.458333333333332,0.08390345426563368,0.00010671357,E2F4,0.21138948819777062
Reactome,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,1,87,11.063218390804597,0.08677697972874236,0.00017698147,ANAPC16,0.21138948819777062
Reactome,Respiratory Electron Transport R-HSA-611105,1,90,10.694444444444445,0.08964224074372758,0.000103555896,NDUFA5,0.21138948819777062
Reactome,Switching Of Origins To A Post-Replicative State R-HSA-69052,1,90,10.694444444444445,0.08964224074372758,0.00017698147,ANAPC16,0.21138948819777062
Reactome,Signaling By TGF-beta Receptor Complex R-HSA-170834,1,91,10.576923076923077,0.0905954949419017,0.00010671357,E2F4,0.21138948819777062
Reactome,"Cell Cycle, Mitotic R-HSA-69278",2,518,3.7162162162162162,0.09844691965851551,0.00014184752,"ANAPC16, E2F4",0.22150556923165993
Reactome,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,1,107,8.995327102803737,0.10572365406358597,0.00015805534,FSCN1,0.22436876306639003
Reactome,Mitotic Spindle Checkpoint R-HSA-69618,1,108,8.912037037037036,0.10666146024651327,0.00017698147,ANAPC16,0.22436876306639003
Reactome,Assembly Of Pre-Replicative Complex R-HSA-68867,1,109,8.830275229357799,0.10759836485034491,0.00017698147,ANAPC16,0.22436876306639003
