DRUG_ID,DRUG_NAME,GeneID,Gene
382,Apitolisib,5108,PIK3CA
406,LIMK1 inhibitor BMS4,3298,LIMK1
409,"eEF2K Inhibitor, A-484954",2760,EEF2K
410,"MetAP2 Inhibitor, A832234",3788,METAP2
428,Pemetrexed,13590,TYMS
431,Alisertib,1731,AURKA
432,Flavopiridol,6658,CDK7
432,Flavopiridol,5273,CDK2
432,Flavopiridol,3149,CDK6
432,Flavopiridol,6908,CDK4
432,Flavopiridol,7153,CDK9
432,Flavopiridol,11153,CDK5
432,Flavopiridol,12394,CDK1
435,C-75,449,FAS
439,LCL161,2561,XIAP
449,CD532,1731,AURKA
474,ARRY-520,7437,KIF11
476,SB505124,5309,ACVR1C
476,SB505124,6921,ACVR1B
476,SB505124,3312,TGFBR1
573,LGK974,2620,PORCN
574,Wnt-C59,2620,PORCN
576,RU-SKI 43,11106,SHH
1010,Gefitinib,8658,EGFR
1011,Navitoclax,12723,BCL2
1013,Nilotinib,2044,ABL1
1016,Temsirolimus,16462,MTOR
1017,Olaparib,6007,PARP2
1017,Olaparib,8274,PARP1
1018,Veliparib,6007,PARP2
1018,Veliparib,8274,PARP1
1019,Bosutinib,16031,SRC
1019,Bosutinib,2044,ABL1
1019,Bosutinib,6938,TEC
1020,Lenalidomide,4163,CRBN
1021,Axitinib,5848,KDR
1021,Axitinib,6799,PDGFRA
1021,Axitinib,2658,FLT1
1021,Axitinib,532,FLT4
1021,Axitinib,4146,PDGFRB
1021,Axitinib,9843,KIT
1022,AZD7762,9007,CHEK1
1022,AZD7762,14654,CHEK2
1023,GW441756,16343,NTRK1
1024,Lestaurtinib,8827,NTRK2
1024,Lestaurtinib,2042,JAK2
1024,Lestaurtinib,16343,NTRK1
1024,Lestaurtinib,7803,NTRK3
1024,Lestaurtinib,5127,FLT3
1025,SB216763,1558,GSK3B
1025,SB216763,3135,GSK3A
1029,Motesanib,5848,KDR
1029,Motesanib,6799,PDGFRA
1029,Motesanib,2658,FLT1
1029,Motesanib,532,FLT4
1029,Motesanib,4146,PDGFRB
1029,Motesanib,11357,RET
1029,Motesanib,9843,KIT
1030,KU-55933,8978,ATM
1032,Afatinib,7976,ERBB2
1032,Afatinib,8658,EGFR
1033,Vismodegib,5906,SMO
1036,PLX-4720,9879,BRAF
1037,BX795,14645,TBK1
1037,BX795,13915,AURKB
1037,BX795,2997,AURKC
1039,SL0101,16333,PIM3
1039,SL0101,7245,PIM1
1039,SL0101,13915,AURKB
1046,Wee1 Inhibitor,9007,CHEK1
1046,Wee1 Inhibitor,11547,WEE1
1047,Nutlin-3a (-),6952,MDM2
1048,Mirin,399,MRE11
1049,PD173074,1383,FGFR1
1049,PD173074,967,FGFR2
1049,PD173074,1019,FGFR3
1050,ZM447439,1731,AURKA
1050,ZM447439,13915,AURKB
1052,RO-3306,12394,CDK1
1053,MK-2206,8023,AKT1
1053,MK-2206,3010,AKT2
1054,Palbociclib,6908,CDK4
1054,Palbociclib,3149,CDK6
1061,SB590885,9879,BRAF
1066,AZD6482,686,PIK3CB
1067,CCT007093,12505,PPM1D
1069,EHT-1864,5878,RAC2
1069,EHT-1864,7064,RAC1
1069,EHT-1864,12279,RAC3
1071,CRT0105446,14465,LCK
1071,CRT0105446,16462,MTOR
1091,BMS-536924,7777,IGF1R
1114,Cetuximab,8658,EGFR
1128,FS106,9007,CHEK1
1133,Serdemetan,6952,MDM2
1135,AZD4547,967,FGFR2
1135,AZD4547,1019,FGFR3
1142,HG-5-113-01,1731,AURKA
1145,THZ-1-87,267,BTK
1145,THZ-1-87,2571,BMX
1149,TW 37,12723,BCL2
1149,TW 37,8190,MCL1
1155,QL-XII-47,14736,IRAK1
1157,XMD11-50,15640,LRRK2
1158,XMD11-85h,15640,LRRK2
1165,THZ-2-98-01,14736,IRAK1
1166,QL-VIII-58,16462,MTOR
1166,QL-VIII-58,13310,ATR
1175,Rucaparib,6007,PARP2
1175,Rucaparib,8274,PARP1
1183,CRT0160829,2047,CDC7
1184,AZ20,13310,ATR
1185,KU-60019,8978,ATM
1187,CCT245232,14920,HSF1
1188,CCT245467,14920,HSF1
1192,GSK269962A,6710,ROCK2
1192,GSK269962A,1013,ROCK1
1194,SB505124,5309,ACVR1C
1194,SB505124,6921,ACVR1B
1194,SB505124,3312,TGFBR1
1199,Tamoxifen,1920,ESR1
1202,torin2,16462,MTOR
1202,torin2,8978,ATM
1202,torin2,13310,ATR
1203,QL-XII-61,267,BTK
1203,QL-XII-61,2571,BMX
1204,HG-6-71-01,16031,SRC
1204,HG-6-71-01,16772,DDR1
1204,HG-6-71-01,10533,DDR2
1218,JQ1,7988,BRD4
1218,JQ1,16677,BRD2
1218,JQ1,12317,BRD3
1218,JQ1,7387,BRDT
