Feature
EXP_DGLUCY (80017)
EXP_TNFRSF1B (7133)
EXP_SULF2 (55959)
EXP_CD34 (947)
EXP_USP40 (55230)
EXP_ILRUN (64771)
EXP_TCF20 (6942)
EXP_CRIM1 (51232)
EXP_IPO13 (9670)
EXP_LGALS8 (3964)
EXP_NAP1L4 (4676)
EXP_ZMYND15 (84225)
EXP_ZFP3 (124961)
EXP_LDAF1 (57146)
EXP_ARMH3 (79591)
EXP_RANBP3 (8498)
EXP_TMEM134 (80194)
EXP_DCUN1D2 (55208)
EXP_URGCP (55665)
EXP_KAT14 (57325)
EXP_RHOBTB1 (9886)
EXP_NSDHL (50814)
EXP_PLCE1 (51196)
EXP_UBE2L5 (171222)
EXP_BLTP3B (23074)
EXP_MAP3K21 (84451)
EXP_PTPN3 (5774)
EXP_ASF1A (25842)
EXP_CDC42SE2 (56990)
EXP_PIGZ (80235)
EXP_MNT (4335)
EXP_PEAK1 (79834)
EXP_TMOD3 (29766)
EXP_CHKA (1119)
EXP_DHX9 (1660)
EXP_CCSAP (126731)
EXP_SLC18B1 (116843)
EXP_SGMS2 (166929)
EXP_PSMG2 (56984)
EXP_BYSL (705)
EXP_CYP26A1 (1592)
EXP_DNAJC5 (80331)
EXP_MECR (51102)
EXP_EFNA4 (1945)
EXP_GATA2 (2624)
EXP_KIZ (55857)
EXP_RND2 (8153)
EXP_SLC35F5 (80255)
EXP_RNF122 (79845)
EXP_ARHGEF19 (128272)
EXP_ISCA1 (81689)
EXP_EIF2B3 (8891)
EXP_SOX6 (55553)
EXP_PLEKHB1 (58473)
EXP_FUOM (282969)
EXP_XXYLT1 (152002)
EXP_EYA3 (2140)
EXP_RASAL1 (8437)
EXP_SLC25A13 (10165)
EXP_ZNF488 (118738)
EXP_APOL3 (80833)
EXP_EML3 (256364)
EXP_ATPSCKMT (134145)
EXP_CLDND1 (56650)
EXP_PEDS1 (387521)
EXP_CEP95 (90799)
EXP_PDE10A (10846)
EXP_U2AF1 (7307)
EXP_DR1 (1810)
EXP_FLYWCH2 (114984)
