DRUG_ID,DRUG_NAME,PathwayID,Pathway
576,RU-SKI 43,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1001,AICA Ribonucleotide,29,ABACAVIR METABOLISM R-HSA-2161541
1004,Vinblastine,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
1005,Cisplatin,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1006,Cytarabine,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1007,Docetaxel,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
1008,Methotrexate,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1009,Tretinoin,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1010,Gefitinib,600,GRB2 EVENTS IN EGFR SIGNALING R-HSA-179812
1011,Navitoclax,1837,APOPTOSIS
1022,AZD7762,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1025,SB216763,159,BETA-CATENIN INDEPENDENT WNT SIGNALING R-HSA-3858494
1032,Afatinib,600,GRB2 EVENTS IN EGFR SIGNALING R-HSA-179812
1033,Vismodegib,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1046,Wee1 Inhibitor,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1047,Nutlin-3a (-),1628,TP53 REGULATES TRANSCRIPTION OF ADDITIONAL CELL CYCLE GENES WITH UNCERTAIN ROLES IN P53 PATHWAY R-HSA-6804115
1050,ZM447439,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
1052,RO-3306,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1054,Palbociclib,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1067,CCT007093,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
