source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0016604,nuclear body,0.012799631814694627,True,"""Membraneless organelle present in the nucleoplasm and usually visible by confocal microscopy."" [PMID:28577509]",940,95,14,22155,0.14736842105263157,0.014893617021276596,query_1,"['GO:0005654', 'GO:0043232']"
GO:CC,GO:0015629,actin cytoskeleton,0.028395340286777707,True,"""The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."" [GOC:jl, ISBN:0395825172, ISBN:0815316194]",537,95,10,22155,0.10526315789473684,0.0186219739292365,query_1,['GO:0005856']
GO:MF,GO:1905773,8-hydroxy-2'-deoxyguanosine DNA binding,0.04574978458,True,"""Binding to 8-hydroxy-2'-deoxyguanosine an oxidized purine residue found in damaged DNA."" [GO_REF:0000067, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:19734539]",3,96,2,20208,0.020833333333333332,0.6666666666666666,query_1,['GO:0032357']
