Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,TP,TN,FP,FN
0.8,0.8498452012383901,0.8809261300992283,0.9028248587570622,0.8917410714285714,0.925465372923,0.9663850059179169,799,299,108,86
0.85,0.8351393188854489,0.8457831325301205,0.8919949174078781,0.8682745825602969,0.9109288311296186,0.9435959815866222,702,377,128,85
0.9,0.8397832817337462,0.8539493293591655,0.8401759530791789,0.8470066518847007,0.9067737128022691,0.9185795626800631,573,512,98,109
0.95,0.6749226006191951,0.9591836734693877,0.1843137254901961,0.3092105263157895,0.885008274409508,0.8464283127651873,94,778,4,416
