Epoch,LearningRate,TrainLoss,ValidLoss,TrainRMSE,ValidRMSE
1,0.0002999996218916961,0.17889810800687955,0.07159006026190322,0.34014020244994986,0.15204003822237425
2,0.00029999966472338713,0.08663015846532512,0.06741340136205828,0.18262951855157752,0.15600870693992838
3,0.00029999966194172177,0.08147773403433695,0.067692475779368,0.17996548835062828,0.15984178700365073
4,0.0002999996640745554,0.07950657844963781,0.06747859951343622,0.17800705292409702,0.15896030239091402
5,0.00029999966532344945,0.07796069043430011,0.06735304765425645,0.17677180092609898,0.15700015951181923
6,0.0002999996542375753,0.07806822755344354,0.06845946644653787,0.17652638707458104,0.15393792421915176
7,0.00029999966569042044,0.07746317366424531,0.06731611138976014,0.1760469494869677,0.15722287215172745
8,0.00029999966313857976,0.07709474630308108,0.06757254061756192,0.176470813323034,0.15522338252319212
9,0.00029999966671639337,0.07643480708007383,0.06721273773872817,0.17533470230813075,0.15710956651248195
10,0.00029999965939884993,0.07623216807367696,0.06794659005808043,0.1754121348778407,0.15392112853655615
11,0.0002999996666348097,0.07590601834060931,0.06722096366075066,0.17484444427181942,0.1561982665249361
12,0.000299999668015195,0.0760688657444428,0.06708164629456517,0.175097917512953,0.15559166262027688
13,0.0002999996663702086,0.07571222779558831,0.06724763594500653,0.1747744336933046,0.15488447498713684
14,0.00029999966838258226,0.07555586455137324,0.0670445184293273,0.17423721993906394,0.16002254603835586
15,0.00029999968012485825,0.07526790068516198,0.06584682695947967,0.1737182033898719,0.15840332291826711
16,0.00029999970166984534,0.07150384454197294,0.06359063732149722,0.16764350940471054,0.13846533128525207
17,0.0002999996597363479,0.048283848361713004,0.06791291793097963,0.12809716247904537,0.15677748691870233
18,0.0002999995911954526,0.038941561834745994,0.0744393353571405,0.11008437480065074,0.16837903857184458
19,0.0002999997509438794,0.03699299392643791,0.05810228316812544,0.10572352807351308,0.14171014108764748
20,0.000299999758711723,0.034902950981674244,0.05718902576793063,0.10239108625279278,0.13842202903118062
21,0.0002999998541195515,0.03475527229385825,0.04446754046343826,0.10139631466620336,0.11822116276106324
22,0.0002999998183353429,0.033864034890613307,0.04962263185832951,0.09979920904124664,0.1279205289867499
23,0.0002999998779494242,0.03247309919748391,0.040673774317488656,0.0978084236886096,0.10990892098071571
24,0.0002999998158484395,0.032430638437302574,0.04996113259871085,0.09712730687917026,0.12967429955644297
25,0.0002999998809671307,0.03158189334632919,0.040167796562562835,0.095698716587596,0.10960904693010627
26,0.0002999998535516825,0.03199366592311447,0.04455400583846075,0.09552157464757208,0.12007496642262769
27,0.00029999986388641955,0.031459445532774036,0.04295317692173136,0.09530012761782461,0.116385813173579
28,0.00029999977716076853,0.03107845499820065,0.05495920080367151,0.09411688382592223,0.1432089697440591
29,0.00029999988365642425,0.03204796849203392,0.039711451432010436,0.09652078941383875,0.10981749534209362
30,0.0002999998400392637,0.03076880321082904,0.046564105528968947,0.09432896021595935,0.12561820314296762
31,0.0002999998890927713,0.030727099211339086,0.0387725604994519,0.09423598350925673,0.10954974469343814
32,0.0002999998948281008,0.030674711801281184,0.03775673332783553,0.09429082739683795,0.10657204511828154
33,0.0002999998610799592,0.030224566922283258,0.04339373309735779,0.0929538478448091,0.12044248108369851
34,0.0002999998686099774,0.0304720973465473,0.04220129268708172,0.09346704698424933,0.11657279840312298
35,0.0002999998912241455,0.030409902408786858,0.03839819474486975,0.09329652885567016,0.10923830072930345
36,0.0002999998878714244,0.03005848793080712,0.0389854640842558,0.09283576678515819,0.10953628195170619
37,0.0002999999057799328,0.029530157800340132,0.035736848944210794,0.09169492741985184,0.10242077953442402
38,0.0002999999162877617,0.030506684295867007,0.033685191917616326,0.09316629750991702,0.09707736578785225
39,0.00029999991668925284,0.02990317212331284,0.03360431629034492,0.09248025646406903,0.09806303179932833
40,0.000299999894931117,0.029506854485852593,0.03773823736218719,0.09215513788776587,0.10691167441290965
41,0.00029999989596990077,0.029858059214056893,0.03755122077491906,0.0924206400197858,0.10638344130239522
42,0.00029999991581869243,0.02995616183213693,0.03377943511705499,0.09277456182501279,0.09801603322314292
43,0.00029999989129506777,0.02983829167089319,0.03838567481608362,0.09215060016864315,0.1077584974518433
44,0.00029999992601149346,0.029482380664815025,0.0316684405031326,0.09202161630035857,0.09385900319678132
45,0.0002999999271775941,0.02945742555660915,0.031417893117165065,0.09156663916218781,0.09311965787849408
46,0.00029999991557899555,0.029394721659112236,0.033827492525359174,0.09155958022907673,0.09799781194866856
47,0.0002999999022752772,0.02929977445886068,0.03639542340516328,0.09155548600194405,0.10451594198580631
48,0.00029999991011533174,0.029001163983475197,0.034904977345878295,0.09129175755118166,0.0997409419157296
49,0.000299999918614478,0.029595748073437518,0.033213766263769914,0.09239679476715494,0.0968035328571222
50,0.00029999991849559253,0.02922217032928918,0.03323801624792832,0.09135988396283772,0.09642966530163029
51,0.00029999991661740493,0.029589829187131773,0.03361880348564626,0.09189248685761923,0.09795431901578563
52,0.00029999989365915304,0.029279297917023696,0.037965979773898026,0.09144411892052907,0.108345981311955
53,0.0002999999052679892,0.028886312344285226,0.03583380528487959,0.09037511674390668,0.10340582674556052
54,0.0002999999253489059,0.029094602142522505,0.03180992427665192,0.09147910145252874,0.0943923096619337
55,0.0002999999063224643,0.029108640367844843,0.0356338116544503,0.09105019035836619,0.10305247971951317
56,0.0002999999245721074,0.029248698586233645,0.031974998590824484,0.09121872564389308,0.09463683529163008
57,0.0002999999101977028,0.029408076757377014,0.03488898006555912,0.09142630430453731,0.10141028405028607
58,0.0002999999192905633,0.02926916546333205,0.033075521960183304,0.09136107155601371,0.0978617127992146
59,0.00029999991944658995,0.028987493967337432,0.03304353585696077,0.09108153584386416,0.09672162562426245
60,0.0002999999216643368,0.028799297581270027,0.03258549404126388,0.09027039254936581,0.09599672746109597
