Gene,GeneID
OSBPL5,406
AQR,407
CPS1,408
C8B,409
FHL1,410
RTF2,411
GABRA1,412
NLRP2,413
SLC45A4,414
RNF10,415
ZNF839,416
ZDHHC6,417
GRAMD1B,418
RNH1,419
NDUFS1,420
RB1CC1,421
ERP44,422
ALAS1,423
BIRC3,424
AKAP11,425
GLRX2,426
SNAPC1,427
DERA,428
STRAP,429
ABCC2,430
DEF6,431
PLEKHO1,432
GCLM,433
UBR2,434
EHD2,435
DEPDC1,436
CCDC28A,437
RRAGD,438
HSF2,439
PHF20,440
HSD17B6,441
NR1H3,442
TYMP,443
NCAPH2,444
TOMM34,445
SEC63,446
KPNA6,447
VIM,448
FAS,449
RNASET2,450
CD44,451
KCNG1,452
AGPAT4,453
SLAMF7,454
BTN3A1,455
MIPEP,456
PRKCH,457
INSRR,458
IFNGR1,459
B4GALT7,460
SH2D2A,461
VRK2,462
TNFRSF1B,463
VEZT,464
POU2F2,465
BRD9,466
SNX1,467
TBPL1,468
BMAL2,469
BCLAF1,470
SLC39A9,471
ANK1,472
IBSP,473
TFB1M,474
RABEP1,475
HMGB3,476
NUP160,477
BAK1,478
MUSK,479
IKZF2,480
GRN,481
FAM13B,482
ARHGAP31,483
CENPQ,484
SARS1,485
RANBP3,486
ARID4A,487
EIPR1,488
PNPLA6,489
IFT88,490
ALG1,491
ZCCHC8,492
ABCF2,493
CHPF2,494
LRRC7,495
FUT8,496
UBA6,497
GAB2,498
ATP6V0A1,499
PIAS1,500
SLC4A7,501
APBA2,502
MAP2K3,503
CLXN,504
TMSB10,505
ASTE1,506
RNF19A,507
PEX3,508
GABARAPL2,509
MYOC,510
SH3YL1,511
FAM136A,512
VCL,513
DEPDC1B,514
DAPK2,515
NSMAF,516
ADSS2,517
STAP1,518
TIMP2,519
RFC1,520
TBC1D23,521
CUL3,522
MYOM2,523
OTC,524
CYP46A1,525
ZZZ3,526
SLC18A1,527
USP2,528
CASR,529
TUBG2,530
RPL26L1,531
FLT4,532
NSUN2,533
FBXO42,534
MFAP3,535
MRI1,536
METTL1,537
HOXC8,538
AGA,539
PI4K2B,540
BOD1L1,541
MAT2B,542
TLL1,543
EDC4,544
TRIO,545
VCAN,546
CLEC16A,547
MSR1,548
CDH1,549
MTREX,550
DNAH5,551
ZFYVE16,552
RIPOR1,553
C6,554
RAI14,555
SOX30,556
PNKP,557
BEST2,558
PHLPP2,559
SPDL1,560
STAU2,561
