Feature
CRISPR_MRPL32 (64983)
CRISPR_COQ3 (51805)
CRISPR_SSR3 (6747)
CRISPR_EDC4 (23644)
CRISPR_EHBP1L1 (254102)
CRISPR_ATF7 (11016)
CRISPR_ZACN (353174)
CRISPR_P3H4 (10609)
CRISPR_SPEM1 (374768)
CRISPR_DPP7 (29952)
CRISPR_GH2 (2689)
CRISPR_SEBOX (645832)
CRISPR_LENG1 (79165)
CRISPR_PLEKHB1 (58473)
CRISPR_KIFAP3 (22920)
CRISPR_MECR (51102)
CRISPR_RPS6KB1 (6198)
CRISPR_H1-4 (3008)
CRISPR_FADS2 (9415)
CRISPR_DPRX (503834)
CRISPR_G3BP1 (10146)
CRISPR_FKBP8 (23770)
CRISPR_CITED2 (10370)
CRISPR_NCOR2 (9612)
CRISPR_DRAP1 (10589)
CRISPR_AVPR1A (552)
CRISPR_MGAT4A (11320)
CRISPR_RPIA (22934)
CRISPR_XAGE5 (170627)
CRISPR_UFL1 (23376)
CRISPR_AZIN1 (51582)
CRISPR_PAPPA (5069)
CRISPR_SEC24A (10802)
CRISPR_GNL3 (26354)
CRISPR_PRSS50 (29122)
CRISPR_CHUK (1147)
CRISPR_CAPRIN1 (4076)
CRISPR_GTPBP8 (29083)
CRISPR_CCL1 (6346)
CRISPR_CACNA2D2 (9254)
CRISPR_SPAG9 (9043)
CRISPR_WBP1L (54838)
CRISPR_WDR83 (84292)
CRISPR_NOCT (25819)
CRISPR_MAPK15 (225689)
CRISPR_TADA3 (10474)
CRISPR_TENT4B (64282)
CRISPR_GATD3 (8209)
CRISPR_CEP131 (22994)
CRISPR_COQ2 (27235)
CRISPR_CCDC30 (728621)
CRISPR_USP18 (11274)
CRISPR_PDZK1IP1 (10158)
CRISPR_CSAD (51380)
CRISPR_USP38 (84640)
CRISPR_EEF1AKMT2 (399818)
CRISPR_MAP2K5 (5607)
CRISPR_EIF5B (9669)
CRISPR_CHD8 (57680)
CRISPR_SLC39A10 (57181)
CRISPR_BET1 (10282)
CRISPR_ZNF689 (115509)
CRISPR_POP7 (10248)
CRISPR_B4GAT1 (11041)
CRISPR_B3GNT4 (79369)
CRISPR_HOXC11 (3227)
CRISPR_HNRNPR (10236)
CRISPR_ATP5PB (515)
CRISPR_SETD2 (29072)
CRISPR_JOSD1 (9929)
CRISPR_TRMT5 (57570)
CRISPR_SPRYD4 (283377)
CRISPR_VEZT (55591)
CRISPR_SLC25A33 (84275)
CRISPR_OXA1L (5018)
CRISPR_DSCC1 (79075)
CRISPR_ARID4B (51742)
CRISPR_SGO1 (151648)
CRISPR_PSME3 (10197)
CRISPR_ATXN10 (25814)
CRISPR_LCMT1 (51451)
CRISPR_SMG9 (56006)
CRISPR_NEK1 (4750)
CRISPR_DNM1L (10059)
CRISPR_ANXA7 (310)
CRISPR_ESF1 (51575)
CRISPR_CDK2AP1 (8099)
CRISPR_ANXA9 (8416)
CRISPR_MAST3 (23031)
CRISPR_UNC45A (55898)
CRISPR_DEPDC1 (55635)
CRISPR_SLBP (7884)
CRISPR_PPP6C (5537)
CRISPR_XPOT (11260)
CRISPR_TMEM147 (10430)
CRISPR_RDM1 (201299)
CRISPR_SOX10 (6663)
CRISPR_FAM200B (285550)
CRISPR_FERMT1 (55612)
CRISPR_PRRC2C (23215)
CRISPR_HADH (3033)
CRISPR_LCN15 (389812)
CRISPR_RAB11A (8766)
CRISPR_CYFIP1 (23191)
CRISPR_MAPK1 (5594)
CRISPR_PSAT1 (29968)
CRISPR_PAQR4 (124222)
CRISPR_MRPL28 (10573)
CRISPR_CYB5R4 (51167)
CRISPR_SYNPO2L (79933)
CRISPR_LRRTM4 (80059)
CRISPR_CEP43 (11116)
CRISPR_NDUFA12 (55967)
CRISPR_CNBP (7555)
CRISPR_PITPNM1 (9600)
CRISPR_RAB7A (7879)
CRISPR_VEZF1 (7716)
CRISPR_EIF3L (51386)
CRISPR_TKFC (26007)
CRISPR_CTU1 (90353)
CRISPR_ZNHIT6 (54680)
CRISPR_SKAP1 (8631)
CRISPR_PROC (5624)
CRISPR_CCL7 (6354)
CRISPR_OPA1 (4976)
CRISPR_RSU1 (6251)
CRISPR_PDE4DIP (9659)
CRISPR_ZNF638 (27332)
CRISPR_PLEKHN1 (84069)
CRISPR_HAUS8 (93323)
