Pathway,Source,PathwayID
Acyl Chain Remodeling Of CL R-HSA-1482798,Reactome,80
Acyl Chain Remodeling Of DAG And TAG R-HSA-1482883,Reactome,81
Acyl Chain Remodelling Of PC R-HSA-1482788,Reactome,82
Acyl Chain Remodelling Of PE R-HSA-1482839,Reactome,83
Acyl Chain Remodelling Of PG R-HSA-1482925,Reactome,84
Acyl Chain Remodelling Of PI R-HSA-1482922,Reactome,85
Acyl Chain Remodelling Of PS R-HSA-1482801,Reactome,86
Adaptive Immune System R-HSA-1280218,Reactome,87
Adenylate Cyclase Activating Pathway R-HSA-170660,Reactome,88
Adenylate Cyclase Inhibitory Pathway R-HSA-170670,Reactome,89
Adherens Junctions Interactions R-HSA-418990,Reactome,90
"Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042",Reactome,91
Adrenoceptors R-HSA-390696,Reactome,92
Advanced Glycosylation Endproduct Receptor Signaling R-HSA-879415,Reactome,93
Aflatoxin Activation And Detoxification R-HSA-5423646,Reactome,94
Aggrephagy R-HSA-9646399,Reactome,95
Alpha-defensins R-HSA-1462054,Reactome,96
Alpha-oxidation Of Phytanate R-HSA-389599,Reactome,97
Alpha-protein Kinase 1 Signaling Pathway R-HSA-9645460,Reactome,98
Amine Ligand-Binding Receptors R-HSA-375280,Reactome,99
Amino Acid Conjugation R-HSA-156587,Reactome,100
Amino Acid Transport Across Plasma Membrane R-HSA-352230,Reactome,101
Amino Acids Regulate mTORC1 R-HSA-9639288,Reactome,102
Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,Reactome,103
Amyloid Fiber Formation R-HSA-977225,Reactome,104
Anchoring Fibril Formation R-HSA-2214320,Reactome,105
Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,Reactome,106
Androgen Biosynthesis R-HSA-193048,Reactome,107
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,Reactome,108
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",Reactome,109
Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,Reactome,110
Antigen processing-Cross Presentation R-HSA-1236975,Reactome,111
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,Reactome,112
Antimicrobial Peptides R-HSA-6803157,Reactome,113
Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,Reactome,114
Apoptosis R-HSA-109581,Reactome,115
Apoptosis Induced DNA Fragmentation R-HSA-140342,Reactome,116
Apoptotic Cleavage Of Cell Adhesion Proteins R-HSA-351906,Reactome,117
Apoptotic Cleavage Of Cellular Proteins R-HSA-111465,Reactome,118
Apoptotic Execution Phase R-HSA-75153,Reactome,119
