Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,TP,TN,FP,FN
0.8,0.8498452012383901,0.8719052744886975,0.9152542372881356,0.8930540242557883,0.9262038617970821,0.9665900072028897,810,288,119,75
0.85,0.8297213622291022,0.8387096774193549,0.8919949174078781,0.8645320197044335,0.9120107690565754,0.9441047229269715,702,370,135,85
0.9,0.8397832817337462,0.8397711015736766,0.8607038123167156,0.8501086169442433,0.9077279938464498,0.9185673542703692,587,498,112,95
0.95,0.8088235294117647,0.8094117647058824,0.6745098039215687,0.7358288770053476,0.8861491399628906,0.8478320250923023,344,701,81,166
