Epoch,LearningRate,TrainLoss,ValidLoss,TrainRMSE,ValidRMSE
1,0.0002999993876640156,0.17589749196803603,0.09110444524624685,0.30802556133716036,0.1608673509933473
2,0.00029999956289547856,0.09223473445462356,0.07697279983991617,0.18829226995801865,0.15280619759425135
3,0.0002999994417143367,0.08546959164876955,0.08699071523663518,0.18330585958430218,0.15780066289981573
4,0.00029999964410111545,0.08263311365905732,0.06945570571734025,0.18038401162443155,0.15287532132357487
5,0.0002999996581856996,0.0811205555136579,0.06806748834726689,0.17896971180868704,0.15418348491815917
6,0.00029999964345349655,0.07932256128405094,0.06951887028532343,0.17769755516557376,0.15273779257928885
7,0.0002999996286037182,0.07804935791337349,0.07095179620671559,0.1765240762474894,0.15214676225594473
8,0.00029999963550295886,0.0778026805256745,0.07028968881692614,0.17643673857167524,0.15227553478736391
9,0.0002999996407684147,0.07734152972291447,0.06978014590324941,0.17489675942115754,0.15237733275166743
10,0.00029999964953081847,0.07722912987489067,0.06892385035082027,0.17574654872423578,0.15270014181670727
11,0.0002999996352030084,0.07743359630735924,0.07031860413986284,0.17646961532922384,0.15192313695138454
12,0.000299999585821753,0.0761542972282348,0.07492698751412355,0.17463713346350979,0.151427632230371
13,0.00029999966737919944,0.07582401371034739,0.06714587097053414,0.17390410230875036,0.15071063241012672
14,0.0002999997243263955,0.0741444592805642,0.0611282816833562,0.17147010013889302,0.13625534404764747
15,0.0002999997559881732,0.053183613291130596,0.057510881721078454,0.13596683547404292,0.13606368900063429
16,0.00029999973350384947,0.04135839234464704,0.06010215765273607,0.11282492263453396,0.14460599744903055
17,0.00029999946274150767,0.03974446238673634,0.0853367901600159,0.10884575436756598,0.19238221221675264
18,0.00029999960972962005,0.0370781530633745,0.07273231632448174,0.10451989385903583,0.1722785536137975
19,0.0002999998708182348,0.03572068080522994,0.041845153692785325,0.1028799113993519,0.11233912230286211
20,0.00029999978295711165,0.03390689752690894,0.054239710328636226,0.09957455045017723,0.13753266569655803
21,0.0002999998388455107,0.03292006075016144,0.04673753160837892,0.09790441928099204,0.12247187749617333
22,0.0002999997273451872,0.03231440882306136,0.060792664530219975,0.09667510204807969,0.1546972428249518
23,0.0002999998314564036,0.03231218961881875,0.04779700651854366,0.09678799409897867,0.12745960149552926
24,0.00029999973577952033,0.03198241482711684,0.059844994453249034,0.09528903516002919,0.1550691748565866
25,0.0002999998482875218,0.03210949529372528,0.04534769497878917,0.09709492051045493,0.12230343112281973
26,0.0002999998782790111,0.03154367737072072,0.04061881920417866,0.09502683809420043,0.11230870529948896
27,0.00029999987170868187,0.031028167908846844,0.041700685435945205,0.0946322000597568,0.11684669768391984
28,0.00029999989956142666,0.031188477015121077,0.03689731981929716,0.09485052786840067,0.10509059807159606
29,0.0002999998783024694,0.0312134523653138,0.040614904953284306,0.09459778792713983,0.11509023962589478
30,0.0002999998539589828,0.030709076400259824,0.044492006167635184,0.09415883584591228,0.12208042865797751
31,0.00029999989826839176,0.03008043422644197,0.03713406630240761,0.09257894004591766,0.10721019783284684
