Pathway,Source,PathwayID,GlobalID
Defective ST3GAL3 Causes MCT12 And EIEE15 R-HSA-3656243,Reactome,370,5301
Defective TPR May Confer Susceptibility Towards Thyroid Papillary Carcinoma (TPC) R-HSA-5619107,Reactome,371,5302
Defective Factor IX Causes Hemophilia B R-HSA-9668250,Reactome,372,5303
Defective Factor VIII Causes Hemophilia A R-HSA-9662001,Reactome,373,5304
Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,Reactome,374,5305
Defective Pyroptosis R-HSA-9710421,Reactome,375,5306
Defects In Biotin (Btn) Metabolism R-HSA-3323169,Reactome,376,5307
Defects In Cobalamin (B12) Metabolism R-HSA-3296469,Reactome,377,5308
Defects In Vitamin And Cofactor Metabolism R-HSA-3296482,Reactome,378,5309
Defects Of Contact Activation System (CAS) And Kallikrein/Kinin System (KKS) R-HSA-9651496,Reactome,379,5310
Defensins R-HSA-1461973,Reactome,380,5311
Degradation Of AXIN R-HSA-4641257,Reactome,381,5312
Degradation Of DVL R-HSA-4641258,Reactome,382,5313
Degradation Of GLI1 By Proteasome R-HSA-5610780,Reactome,383,5314
Degradation Of GLI2 By Proteasome R-HSA-5610783,Reactome,384,5315
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,Reactome,385,5316
Degradation Of Cysteine And Homocysteine R-HSA-1614558,Reactome,386,5317
Degradation Of Extracellular Matrix R-HSA-1474228,Reactome,387,5318
Depolymerisation Of Nuclear Lamina R-HSA-4419969,Reactome,388,5319
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,389,5320
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,Reactome,390,5321
Dermatan Sulfate Biosynthesis R-HSA-2022923,Reactome,391,5322
Detoxification Of Reactive Oxygen Species R-HSA-3299685,Reactome,392,5323
Deubiquitination R-HSA-5688426,Reactome,393,5324
Developmental Biology R-HSA-1266738,Reactome,394,5325
Digestion R-HSA-8935690,Reactome,395,5326
Digestion And Absorption R-HSA-8963743,Reactome,396,5327
Digestion Of Dietary Carbohydrate R-HSA-189085,Reactome,397,5328
Digestion Of Dietary Lipid R-HSA-192456,Reactome,398,5329
Dimerization Of Procaspase-8 R-HSA-69416,Reactome,399,5330
Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262,Reactome,400,5331
Disease R-HSA-1643685,Reactome,401,5332
Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860,Reactome,402,5333
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995,Reactome,403,5334
Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782,Reactome,404,5335
Diseases Associated With Glycosylation Precursor Biosynthesis R-HSA-5609975,Reactome,405,5336
Diseases Associated With Surfactant Metabolism R-HSA-5687613,Reactome,406,5337
Diseases Associated With TLR Signaling Cascade R-HSA-5602358,Reactome,407,5338
Diseases Of DNA Repair R-HSA-9675135,Reactome,410,5339
Diseases Of Mismatch Repair (MMR) R-HSA-5423599,Reactome,411,5340
Diseases Of Carbohydrate Metabolism R-HSA-5663084,Reactome,412,5341
Diseases Of Glycosylation R-HSA-3781865,Reactome,413,5342
Diseases Of Metabolism R-HSA-5668914,Reactome,414,5343
Diseases Of Mitotic Cell Cycle R-HSA-9675126,Reactome,415,5344
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,416,5345
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,Reactome,417,5346
Disinhibition Of SNARE Formation R-HSA-114516,Reactome,418,5347
Disorders Of Developmental Biology R-HSA-9675151,Reactome,419,5348
Disorders Of Transmembrane Transporters R-HSA-5619115,Reactome,420,5349
Displacement Of DNA Glycosylase By APEX1 R-HSA-110357,Reactome,421,5350
Dopamine Neurotransmitter Release Cycle R-HSA-212676,Reactome,423,5351
Downregulation Of ERBB2 Signaling R-HSA-8863795,Reactome,425,5352
Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803,Reactome,426,5353
Downregulation Of ERBB4 Signaling R-HSA-1253288,Reactome,427,5354
Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795,Reactome,428,5355
Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788,Reactome,429,5356
Downstream TCR Signaling R-HSA-202424,Reactome,430,5357
Downstream Signal Transduction R-HSA-186763,Reactome,431,5358
Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,Reactome,432,5359
Downstream Signaling Of Activated FGFR1 R-HSA-5654687,Reactome,433,5360
Downstream Signaling Of Activated FGFR2 R-HSA-5654696,Reactome,434,5361
Downstream Signaling Of Activated FGFR3 R-HSA-5654708,Reactome,435,5362
Downstream Signaling Of Activated FGFR4 R-HSA-5654716,Reactome,436,5363
Drug ADME R-HSA-9748784,Reactome,437,5364
Drug-mediated Inhibition Of CDK4/CDK6 Activity R-HSA-9754119,Reactome,438,5365
Dual Incision In GG-NER R-HSA-5696400,Reactome,439,5366
Dual Incision In TC-NER R-HSA-6782135,Reactome,440,5367
E2F Mediated Regulation Of DNA Replication R-HSA-113510,Reactome,441,5368
E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507,Reactome,442,5369
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,Reactome,443,5370
ECM Proteoglycans R-HSA-3000178,Reactome,444,5371
EGFR Transactivation By Gastrin R-HSA-2179392,Reactome,445,5372
EGFR Downregulation R-HSA-182971,Reactome,446,5373
EGFR Interacts With Phospholipase C-gamma R-HSA-212718,Reactome,447,5374
EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665,Reactome,448,5375
EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,Reactome,449,5376
EPH-Ephrin Signaling R-HSA-2682334,Reactome,450,5377
EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665,Reactome,451,5378
EPHA-mediated Growth Cone Collapse R-HSA-3928663,Reactome,452,5379
EPHB-mediated Forward Signaling R-HSA-3928662,Reactome,453,5380
ER Quality Control Compartment (ERQC) R-HSA-901032,Reactome,454,5381
ER To Golgi Anterograde Transport R-HSA-199977,Reactome,455,5382
ER-Phagosome Pathway R-HSA-1236974,Reactome,456,5383
ERBB2 Activates PTK6 Signaling R-HSA-8847993,Reactome,457,5384
ERBB2 Regulates Cell Motility R-HSA-6785631,Reactome,458,5385
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,459,5386
ERK/MAPK Targets R-HSA-198753,Reactome,460,5387
ERKs Are Inactivated R-HSA-202670,Reactome,461,5388
ESR-mediated Signaling R-HSA-8939211,Reactome,462,5389
Early Phase Of HIV Life Cycle R-HSA-162594,Reactome,463,5390
Early SARS-CoV-2 Infection Events R-HSA-9772572,Reactome,464,5391
Effects Of PIP2 Hydrolysis R-HSA-114508,Reactome,465,5392
Eicosanoid Ligand-Binding Receptors R-HSA-391903,Reactome,466,5393
Eicosanoids R-HSA-211979,Reactome,467,5394
Elastic Fibre Formation R-HSA-1566948,Reactome,468,5395
Elevation Of Cytosolic Ca2+ Levels R-HSA-139853,Reactome,469,5396
Endogenous Sterols R-HSA-211976,Reactome,470,5397
Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729,Reactome,471,5398
Endosomal/Vacuolar Pathway R-HSA-1236977,Reactome,472,5399
Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,Reactome,473,5400
Entry Of Influenza Virion Into Host Cell Via Endocytosis R-HSA-168275,Reactome,474,5401
Ephrin Signaling R-HSA-3928664,Reactome,475,5402
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,476,5403
Erythrocytes Take Up Carbon Dioxide And Release Oxygen R-HSA-1237044,Reactome,477,5404
Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673,Reactome,478,5405
Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276,Reactome,479,5406
Erythropoietin Activates Phospholipase C Gamma (PLCG) R-HSA-9027277,Reactome,480,5407
Erythropoietin Activates RAS R-HSA-9027284,Reactome,481,5408
Erythropoietin Activates STAT5 R-HSA-9027283,Reactome,482,5409
Establishment Of Sister Chromatid Cohesion R-HSA-2468052,Reactome,483,5410
Estrogen Biosynthesis R-HSA-193144,Reactome,484,5411
Estrogen-dependent Gene Expression R-HSA-9018519,Reactome,485,5412
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,Reactome,486,5413
Estrogen-stimulated Signaling Thru PRKCZ R-HSA-9634635,Reactome,487,5414
Ethanol Oxidation R-HSA-71384,Reactome,488,5415
Eukaryotic Translation Elongation R-HSA-156842,Reactome,489,5416
Eukaryotic Translation Termination R-HSA-72764,Reactome,490,5417
Export Of Viral Ribonucleoproteins From Nucleus R-HSA-168274,Reactome,491,5418
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,492,5419
Extension Of Telomeres R-HSA-180786,Reactome,493,5420
Extra-nuclear Estrogen Signaling R-HSA-9009391,Reactome,494,5421
Extracellular Matrix Organization R-HSA-1474244,Reactome,495,5422
Extrinsic Pathway Of Fibrin Clot Formation R-HSA-140834,Reactome,496,5423
FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,Reactome,497,5424
FBXW7 Mutants And NOTCH1 In Cancer R-HSA-2644605,Reactome,498,5425
FCERI Mediated Ca+2 Mobilization R-HSA-2871809,Reactome,499,5426
FCERI Mediated MAPK Activation R-HSA-2871796,Reactome,500,5427
FCERI Mediated NF-kB Activation R-HSA-2871837,Reactome,501,5428
FCGR Activation R-HSA-2029481,Reactome,502,5429
FCGR3A-mediated IL10 Synthesis R-HSA-9664323,Reactome,503,5430
FCGR3A-mediated Phagocytosis R-HSA-9664422,Reactome,504,5431
FGFR1 Ligand Binding And Activation R-HSA-190242,Reactome,505,5432
FGFR1 Mutant Receptor Activation R-HSA-1839124,Reactome,506,5433
FGFR1b Ligand Binding And Activation R-HSA-190370,Reactome,507,5434
FGFR1c Ligand Binding And Activation R-HSA-190373,Reactome,508,5435
FGFR2 Alternative Splicing R-HSA-6803529,Reactome,509,5436
FGFR2 Mutant Receptor Activation R-HSA-1839126,Reactome,511,5437
FGFRL1 Modulation Of FGFR1 Signaling R-HSA-5658623,Reactome,518,5438
FLT3 Signaling R-HSA-9607240,Reactome,519,5439
FLT3 Signaling By CBL Mutants R-HSA-9706377,Reactome,520,5440
FLT3 Signaling In Disease R-HSA-9682385,Reactome,521,5441
FLT3 Signaling Thru SRC Family Kinases R-HSA-9706374,Reactome,522,5442
FOXO-mediated Transcription R-HSA-9614085,Reactome,523,5443
FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828,Reactome,524,5444
FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657,Reactome,525,5445
"FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017",Reactome,526,5446
FRS-mediated FGFR1 Signaling R-HSA-5654693,Reactome,527,5447
FRS-mediated FGFR2 Signaling R-HSA-5654700,Reactome,528,5448
FRS-mediated FGFR3 Signaling R-HSA-5654706,Reactome,529,5449
FRS-mediated FGFR4 Signaling R-HSA-5654712,Reactome,530,5450
Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231,Reactome,531,5451
Fanconi Anemia Pathway R-HSA-6783310,Reactome,532,5452
FasL/ CD95L Signaling R-HSA-75157,Reactome,533,5453
Fatty Acid Metabolism R-HSA-8978868,Reactome,535,5454
Fatty Acids R-HSA-211935,Reactome,536,5455
Fatty acyl-CoA Biosynthesis R-HSA-75105,Reactome,537,5456
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,Reactome,538,5457
Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480,Reactome,539,5458
Fertilization R-HSA-1187000,Reactome,540,5459
Fibronectin Matrix Formation R-HSA-1566977,Reactome,541,5460
Ficolins Bind To Repetitive Carbohydrate Structures On Target Cell Surface R-HSA-2855086,Reactome,542,5461
Folding Of Actin By CCT/TriC R-HSA-390450,Reactome,543,5462
Formation Of ATP By Chemiosmotic Coupling R-HSA-163210,Reactome,544,5463
Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,Reactome,545,5464
Formation Of HIV Elongation Complex In Absence Of HIV Tat R-HSA-167152,Reactome,546,5465
Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200,Reactome,547,5466
Formation Of Incision Complex In GG-NER R-HSA-5696395,Reactome,548,5467
Formation Of RNA Pol II Elongation Complex R-HSA-112382,Reactome,549,5468
Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584,Reactome,550,5469
Formation Of TC-NER Pre-Incision Complex R-HSA-6781823,Reactome,551,5470
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Reactome,552,5471
Formation Of Annular Gap Junctions R-HSA-196025,Reactome,553,5472
Formation Of Apoptosome R-HSA-111458,Reactome,554,5473
Formation Of Early Elongation Complex R-HSA-113418,Reactome,555,5474
Formation Of Editosome R-HSA-75094,Reactome,556,5475
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,557,5476
Formation Of Cornified Envelope R-HSA-6809371,Reactome,558,5477
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",Reactome,559,5478
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,Reactome,560,5479
Formation Of Xylulose-5-Phosphate R-HSA-5661270,Reactome,561,5480
Formyl Peptide Receptors Bind Formyl Peptides And Many Other Ligands R-HSA-444473,Reactome,562,5481
Free Fatty Acids Regulate Insulin Secretion R-HSA-400451,Reactome,564,5482
Frs2-mediated Activation R-HSA-170968,Reactome,565,5483
Fructose Catabolism R-HSA-70350,Reactome,566,5484
Fructose Metabolism R-HSA-5652084,Reactome,567,5485
G Alpha (12/13) Signaling Events R-HSA-416482,Reactome,568,5486
G Alpha (I) Signaling Events R-HSA-418594,Reactome,569,5487
G Alpha (Q) Signaling Events R-HSA-416476,Reactome,570,5488
G Alpha (S) Signaling Events R-HSA-418555,Reactome,571,5489
G Alpha (Z) Signaling Events R-HSA-418597,Reactome,572,5490
G Beta:Gamma Signaling Thru BTK R-HSA-8964315,Reactome,573,5491
G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616,Reactome,574,5492
G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451,Reactome,575,5493
G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217,Reactome,576,5494
G-protein Activation R-HSA-202040,Reactome,577,5495
G-protein Beta:Gamma Signaling R-HSA-397795,Reactome,578,5496
G-protein Mediated Events R-HSA-112040,Reactome,579,5497
G0 And Early G1 R-HSA-1538133,Reactome,580,5498
G1/S DNA Damage Checkpoints R-HSA-69615,Reactome,581,5499
G1/S Transition R-HSA-69206,Reactome,582,5500
G1/S-Specific Transcription R-HSA-69205,Reactome,583,5501
G2 Phase R-HSA-68911,Reactome,584,5502
G2/M Checkpoints R-HSA-69481,Reactome,585,5503
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,586,5504
G2/M Transition R-HSA-69275,Reactome,588,5505
GAB1 Signalosome R-HSA-180292,Reactome,589,5506
GABA Receptor Activation R-HSA-977443,Reactome,590,5507
"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",Reactome,591,5508
GDP-fucose Biosynthesis R-HSA-6787639,Reactome,592,5509
GLI Proteins Bind Promoters Of Hh Responsive Genes To Promote Transcription R-HSA-5635851,Reactome,593,5510
GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785,Reactome,594,5511
GP1b-IX-V Activation Signaling R-HSA-430116,Reactome,595,5512
GPCR Downstream Signaling R-HSA-388396,Reactome,596,5513
GPCR Ligand Binding R-HSA-500792,Reactome,597,5514
GPER1 Signaling R-HSA-9634597,Reactome,598,5515
GPVI-mediated Activation Cascade R-HSA-114604,Reactome,599,5516
GRB2 Events In EGFR Signaling R-HSA-179812,Reactome,600,5517
GRB2 Events In ERBB2 Signaling R-HSA-1963640,Reactome,601,5518
GRB2:SOS Provides Linkage To MAPK Signaling For Integrins R-HSA-354194,Reactome,602,5519
GRB7 Events In ERBB2 Signaling R-HSA-1306955,Reactome,603,5520
GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,Reactome,604,5521
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,Reactome,605,5522
Gain-of-function MRAS Complexes Activate RAF Signaling R-HSA-9726842,Reactome,606,5523
"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841",Reactome,607,5524
Gamma-carboxylation Of Protein Precursors R-HSA-159740,Reactome,608,5525
"Gamma-carboxylation, Transport, And Amino-Terminal Cleavage Of Proteins R-HSA-159854",Reactome,609,5526
Gap Junction Assembly R-HSA-190861,Reactome,610,5527
Gap Junction Degradation R-HSA-190873,Reactome,611,5528
Gap Junction Trafficking R-HSA-190828,Reactome,612,5529
Gap Junction Trafficking And Regulation R-HSA-157858,Reactome,613,5530
Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397,Reactome,614,5531
Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210,Reactome,615,5532
Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907,Reactome,616,5533
Gastrulation R-HSA-9758941,Reactome,617,5534
Gene Silencing By RNA R-HSA-211000,Reactome,618,5535
Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,Reactome,619,5536
Gene Expression (Transcription) R-HSA-74160,Reactome,620,5537
Generation Of Second Messenger Molecules R-HSA-202433,Reactome,621,5538
Generic Transcription Pathway R-HSA-212436,Reactome,622,5539
Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399,Reactome,623,5540
Glucagon Signaling In Metabolic Regulation R-HSA-163359,Reactome,624,5541
Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,Reactome,625,5542
Glucagon-type Ligand Receptors R-HSA-420092,Reactome,626,5543
Gluconeogenesis R-HSA-70263,Reactome,628,5544
Glucose Metabolism R-HSA-70326,Reactome,629,5545
Glucuronidation R-HSA-156588,Reactome,630,5546
Glutamate Neurotransmitter Release Cycle R-HSA-210500,Reactome,631,5547
Glutamate And Glutamine Metabolism R-HSA-8964539,Reactome,632,5548
"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",Reactome,633,5549
Glutathione Conjugation R-HSA-156590,Reactome,634,5550
Glycerophospholipid Biosynthesis R-HSA-1483206,Reactome,636,5551
Glycerophospholipid Catabolism R-HSA-6814848,Reactome,637,5552
Glycogen Breakdown (Glycogenolysis) R-HSA-70221,Reactome,638,5553
Glycogen Metabolism R-HSA-8982491,Reactome,639,5554
Glycogen Storage Diseases R-HSA-3229121,Reactome,640,5555
Glycogen Synthesis R-HSA-3322077,Reactome,641,5556
Glycolysis R-HSA-70171,Reactome,642,5557
Glycoprotein Hormones R-HSA-209822,Reactome,643,5558
Glycosaminoglycan Metabolism R-HSA-1630316,Reactome,644,5559
Glycosphingolipid Metabolism R-HSA-1660662,Reactome,645,5560
Glyoxylate Metabolism And Glycine Degradation R-HSA-389661,Reactome,646,5561
Golgi Associated Vesicle Biogenesis R-HSA-432722,Reactome,647,5562
Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,Reactome,648,5563
Golgi-to-ER Retrograde Transport R-HSA-8856688,Reactome,649,5564
Growth Hormone Receptor Signaling R-HSA-982772,Reactome,650,5565
HATs Acetylate Histones R-HSA-3214847,Reactome,651,5566
HCMV Early Events R-HSA-9609690,Reactome,652,5567
HCMV Infection R-HSA-9609646,Reactome,653,5568
HCMV Late Events R-HSA-9610379,Reactome,654,5569
HDACs Deacetylate Histones R-HSA-3214815,Reactome,655,5570
HDL Assembly R-HSA-8963896,Reactome,656,5571
HDL Clearance R-HSA-8964011,Reactome,657,5572
HDMs Demethylate Histones R-HSA-3214842,Reactome,659,5573
HDR Thru Homologous Recombination (HRR) R-HSA-5685942,Reactome,660,5574
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,661,5575
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939,Reactome,662,5576
HDR Thru Single Strand Annealing (SSA) R-HSA-5685938,Reactome,663,5577
HIV Infection R-HSA-162906,Reactome,664,5578
HIV Life Cycle R-HSA-162587,Reactome,665,5579
HIV Transcription Initiation R-HSA-167161,Reactome,666,5580
HIV Elongation Arrest And Recovery R-HSA-167287,Reactome,667,5581
HS-GAG Biosynthesis R-HSA-2022928,Reactome,668,5582
HS-GAG Degradation R-HSA-2024096,Reactome,669,5583
HSF1 Activation R-HSA-3371511,Reactome,670,5584
HSF1-dependent Transactivation R-HSA-3371571,Reactome,671,5585
HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,Reactome,672,5586
Hedgehog Off State R-HSA-5610787,Reactome,673,5587
Hedgehog On State R-HSA-5632684,Reactome,674,5588
Hedgehog Ligand Biogenesis R-HSA-5358346,Reactome,675,5589
Heme Biosynthesis R-HSA-189451,Reactome,676,5590
Heme Degradation R-HSA-189483,Reactome,677,5591
Heme Signaling R-HSA-9707616,Reactome,678,5592
Hemostasis R-HSA-109582,Reactome,679,5593
Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091,Reactome,680,5594
Hh Mutants Abrogate Ligand Secretion R-HSA-5387390,Reactome,681,5595
Hh Mutants Are Degraded By ERAD R-HSA-5362768,Reactome,682,5596
Highly Calcium Permeable Nicotinic Acetylcholine Receptors R-HSA-629597,Reactome,683,5597
Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors R-HSA-629594,Reactome,684,5598
Highly Sodium Permeable Postsynaptic Acetylcholine Nicotinic Receptors R-HSA-629587,Reactome,685,5599
Histidine Catabolism R-HSA-70921,Reactome,686,5600
Homologous DNA Pairing And Strand Exchange R-HSA-5693579,Reactome,687,5601
Homology Directed Repair R-HSA-5693538,Reactome,688,5602
Hormone Ligand-Binding Receptors R-HSA-375281,Reactome,689,5603
Host Interactions Of HIV Factors R-HSA-162909,Reactome,690,5604
HuR (ELAVL1) Binds And Stabilizes mRNA R-HSA-450520,Reactome,691,5605
Hyaluronan Metabolism R-HSA-2142845,Reactome,692,5606
Hyaluronan Uptake And Degradation R-HSA-2160916,Reactome,693,5607
IGF1R Signaling Cascade R-HSA-2428924,Reactome,695,5608
IKK Complex Recruitment Mediated By RIP1 R-HSA-937041,Reactome,696,5609
IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467,Reactome,697,5610
IRAK1 Recruits IKK Complex R-HSA-937039,Reactome,698,5611
IRAK2 Mediated Activation Of TAK1 Complex R-HSA-937042,Reactome,699,5612
IRAK2 Mediated Activation Of TAK1 Complex Upon TLR7/8 Or 9 Stimulation R-HSA-975163,Reactome,700,5613
IRAK4 Deficiency (TLR2/4) R-HSA-5603041,Reactome,701,5614
IRE1alpha Activates Chaperones R-HSA-381070,Reactome,702,5615
IRF3-mediated Induction Of Type I IFN R-HSA-3270619,Reactome,704,5616
IRS Activation R-HSA-74713,Reactome,705,5617
IRS-mediated Signaling R-HSA-112399,Reactome,706,5618
IRS-related Events Triggered By IGF1R R-HSA-2428928,Reactome,707,5619
ISG15 Antiviral Mechanism R-HSA-1169408,Reactome,708,5620
IkBA Variant Leads To EDA-ID R-HSA-5603029,Reactome,709,5621
Immune System R-HSA-168256,Reactome,710,5622
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,711,5623
Impaired BRCA2 Binding To PALB2 R-HSA-9709603,Reactome,712,5624
Impaired BRCA2 Binding To RAD51 R-HSA-9709570,Reactome,713,5625
Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,Reactome,714,5626
Inactivation Of CDC42 And RAC1 R-HSA-428543,Reactome,715,5627
Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462,Reactome,716,5628
"Inactivation, Recovery And Regulation Of Phototransduction Cascade R-HSA-2514859",Reactome,717,5629
"Incretin Synthesis, Secretion, And Inactivation R-HSA-400508",Reactome,718,5630
Infection With Mycobacterium Tuberculosis R-HSA-9635486,Reactome,719,5631
Infectious Disease R-HSA-5663205,Reactome,720,5632
Inflammasomes R-HSA-622312,Reactome,721,5633
Influenza Infection R-HSA-168255,Reactome,722,5634
Influenza Viral RNA Transcription And Replication R-HSA-168273,Reactome,723,5635
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,724,5636
Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501,Reactome,726,5637
Initial Triggering Of Complement R-HSA-166663,Reactome,727,5638
Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383,Reactome,728,5639
InlA-mediated Entry Of Listeria Monocytogenes Into Host Cells R-HSA-8876493,Reactome,729,5640
InlB-mediated Entry Of Listeria Monocytogenes Into Host Cell R-HSA-8875360,Reactome,730,5641
Innate Immune System R-HSA-168249,Reactome,731,5642
Inositol Phosphate Metabolism R-HSA-1483249,Reactome,732,5643
Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523,Reactome,733,5644
Insulin Processing R-HSA-264876,Reactome,734,5645
Insulin Receptor Recycling R-HSA-77387,Reactome,735,5646
Insulin Receptor Signaling Cascade R-HSA-74751,Reactome,736,5647
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359,Reactome,737,5648
Integration Of Energy Metabolism R-HSA-163685,Reactome,738,5649
Integration Of Provirus R-HSA-162592,Reactome,739,5650
Integrin Cell Surface Interactions R-HSA-216083,Reactome,740,5651
Integrin Signaling R-HSA-354192,Reactome,741,5652
Interaction With Cumulus Cells And Zona Pellucida R-HSA-2534343,Reactome,742,5653
Interaction Between L1 And Ankyrins R-HSA-445095,Reactome,743,5654
Interactions Of Rev With Host Cellular Proteins R-HSA-177243,Reactome,744,5655
Interactions Of Vpr With Host Cellular Proteins R-HSA-176033,Reactome,745,5656
Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,Reactome,746,5657
Interferon Signaling R-HSA-913531,Reactome,747,5658
Interferon Alpha/Beta Signaling R-HSA-909733,Reactome,748,5659
Interferon Gamma Signaling R-HSA-877300,Reactome,749,5660
Interleukin Receptor SHC Signaling R-HSA-912526,Reactome,750,5661
Interleukin-1 Family Signaling R-HSA-446652,Reactome,751,5662
Interleukin-1 Processing R-HSA-448706,Reactome,752,5663
Interleukin-1 Signaling R-HSA-9020702,Reactome,753,5664
Interleukin-10 Signaling R-HSA-6783783,Reactome,754,5665
Interleukin-12 Family Signaling R-HSA-447115,Reactome,755,5666
Interleukin-12 Signaling R-HSA-9020591,Reactome,756,5667
Interleukin-15 Signaling R-HSA-8983432,Reactome,757,5668
Interleukin-17 Signaling R-HSA-448424,Reactome,758,5669
Interleukin-18 Signaling R-HSA-9012546,Reactome,759,5670
Interleukin-2 Family Signaling R-HSA-451927,Reactome,760,5671
Interleukin-2 Signaling R-HSA-9020558,Reactome,761,5672
Interleukin-20 Family Signaling R-HSA-8854691,Reactome,762,5673
Interleukin-21 Signaling R-HSA-9020958,Reactome,763,5674
Interleukin-23 Signaling R-HSA-9020933,Reactome,764,5675
Interleukin-27 Signaling R-HSA-9020956,Reactome,765,5676
"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",Reactome,766,5677
Interleukin-35 Signaling R-HSA-8984722,Reactome,767,5678
